,loss,mae,mse,val_loss,val_mae,val_mse,epoch
0,1329.6071570664458,15.683465003967285,1329.6075439453125,487.2659829514537,15.291632652282715,487.2659912109375,0
1,1325.7794408173831,15.562451362609863,1325.7796630859375,483.60631631879664,15.171499252319336,483.6062927246094,1
2,1322.1721983556579,15.443900108337402,1322.1722412109375,480.02447479399876,15.05298900604248,480.02447509765625,2
3,1318.4674114467552,15.32485294342041,1318.467529296875,476.4533848093517,14.933902740478516,476.4533996582031,3
4,1314.8141409256934,15.20564079284668,1314.8140869140625,472.8981209674285,14.814391136169434,472.8981628417969,4
5,1311.0610896730886,15.08446216583252,1311.06103515625,469.3303418211676,14.6934814453125,469.3303527832031,5
6,1307.5001298193615,14.964821815490723,1307.500244140625,465.79930280239427,14.572829246520996,465.7993469238281,6
7,1303.938931114495,14.8458890914917,1303.938720703125,462.30767342486786,14.452532768249512,462.3077697753906,7
8,1300.431747227603,14.727210998535156,1300.431640625,458.92135064423974,14.336065292358398,458.9212951660156,8
9,1297.0893263148525,14.613449096679688,1297.088623046875,455.64078387360075,14.222779273986816,455.640869140625,9
10,1293.718090335617,14.49886417388916,1293.7181396484375,452.29782071089863,14.106389045715332,452.2978515625,10
11,1290.2533440261093,14.381979942321777,1290.2532958984375,448.9967032513215,13.99049186706543,448.99676513671875,11
12,1286.7915663962522,14.264871597290039,1286.7916259765625,445.70591634114584,13.873980522155762,445.70587158203125,12
13,1283.527701680091,14.151000022888184,1283.5279541015625,442.45754661749845,13.757989883422852,442.45751953125,13
14,1280.1639824492854,14.034828186035156,1280.1639404296875,439.1813640537547,13.639989852905273,439.1813659667969,14
15,1276.9426182544378,13.920231819152832,1276.9427490234375,435.9722571225902,13.523603439331055,435.9722595214844,15
16,1273.5523412095274,13.802009582519531,1273.552490234375,432.7904193631452,13.408714294433594,432.7904968261719,16
17,1270.3791715979487,13.691605567932129,1270.379638671875,429.68484749106034,13.3008394241333,429.68487548828125,17
18,1267.1750346082404,13.582040786743164,1267.1751708984375,426.5930764876788,13.192492485046387,426.5931091308594,18
19,1264.0740845774963,13.473989486694336,1264.07421875,423.49300555328824,13.082881927490234,423.49298095703125,19
20,1260.846609881484,13.363381385803223,1260.8465576171875,420.47252579874066,12.975120544433594,420.47247314453125,20
21,1257.8034926878152,13.255719184875488,1257.803466796875,417.4496282017646,12.866291999816895,417.4496154785156,21
22,1254.6455602781198,13.145853996276855,1254.6451416015625,414.46082757598725,12.75786304473877,414.46087646484375,22
23,1251.568833867501,13.037201881408691,1251.5687255859375,411.50700962958643,12.6497802734375,411.5069885253906,23
24,1248.5669842530817,12.929494857788086,1248.5670166015625,408.51862319263057,12.539398193359375,408.5185852050781,24
25,1245.7306470009175,12.826253890991211,1245.7303466796875,405.697607907727,12.43925666809082,405.6976318359375,25
26,1242.576163913232,12.720012664794922,1242.576171875,402.7432951210743,12.335960388183594,402.74334716796875,26
27,1239.6415621487097,12.617989540100098,1239.6414794921875,399.8247596247279,12.232991218566895,399.8246765136719,27
28,1236.7434094946332,12.51595687866211,1236.7437744140625,397.13979322139306,12.137650489807129,397.1398010253906,28
29,1233.8857729975668,12.414511680603027,1233.8858642578125,394.35656944768346,12.038124084472656,394.3565673828125,29
30,1231.171397681375,12.316971778869629,1231.1710205078125,391.6298133356654,11.940308570861816,391.6298522949219,30
31,1228.3098479107834,12.215559959411621,1228.310302734375,388.88280035370025,11.841344833374023,388.8828125,31
32,1225.5414148985465,12.115854263305664,1225.5413818359375,386.1881453329058,11.743520736694336,386.1881408691406,32
33,1222.7972745622365,12.01800537109375,1222.79736328125,383.5100519132851,11.646027565002441,383.51007080078125,33
34,1220.080538737587,11.922616958618164,1220.08056640625,380.8961525380908,11.554497718811035,380.89617919921875,34
35,1217.2426213707708,11.82903003692627,1217.2420654296875,378.27727366585043,11.462517738342285,378.2773132324219,35
36,1214.5845482170746,11.737862586975098,1214.58447265625,375.7047977884017,11.371956825256348,375.704833984375,36
37,1211.9101773205757,11.647010803222656,1211.9102783203125,373.0305022737873,11.277265548706055,373.030517578125,37
38,1209.3853630386895,11.558374404907227,1209.3853759765625,370.657665286847,11.192689895629883,370.6576232910156,38
39,1206.8481975457607,11.47091293334961,1206.84765625,368.2264348423896,11.105510711669922,368.2264099121094,39
40,1204.3463687455146,11.384543418884277,1204.3466796875,365.73423543901583,11.015640258789062,365.7342224121094,40
41,1201.8877924187195,11.297202110290527,1201.8875732421875,363.3286046573772,10.92883014678955,363.3286437988281,41
42,1199.3007482633623,11.210596084594727,1199.30078125,360.92980264692164,10.843994140625,360.92974853515625,42
43,1196.8667070076838,11.130940437316895,1196.866455078125,358.5981491468439,10.764033317565918,358.59808349609375,43
44,1194.4537063723985,11.05440902709961,1194.4537353515625,356.2787477407882,10.684412002563477,356.2787170410156,44
45,1192.0167639639533,10.97651195526123,1192.0169677734375,353.99871747220925,10.605981826782227,353.99871826171875,45
46,1189.8583582108195,10.903507232666016,1189.8582763671875,351.718407838736,10.527705192565918,351.7184143066406,46
47,1187.3868558511883,10.825220108032227,1187.3870849609375,349.4692135027985,10.450082778930664,349.46917724609375,47
48,1185.1968526348771,10.752460479736328,1185.197265625,347.2751382248912,10.37387466430664,347.275146484375,48
49,1182.8967619163052,10.679515838623047,1182.8968505859375,345.1198349074938,10.298649787902832,345.1199035644531,49
50,1180.5183559737752,10.604361534118652,1180.5185546875,342.8557894123134,10.218986511230469,342.8557434082031,50
51,1178.4396295678062,10.536505699157715,1178.439453125,340.84376166044774,10.153288841247559,340.84375,51
